Sample,Cruise,Expt,Depth,Light,Treatment_2,Station,Cast,Longitude,Latitude,SigmaT,Salinity,Temp,Oxygen,NO2,NO3,NH4,Chl_SP,pPAR,Inc.PAR,NH3.Ox.12,Stdev_4,SE_4,NO2.Ox.12,Stdev_2,SE_2,NO3.Red.12,Stdev_3,SE_3,NO2.up,NO3.up,NH3.up,PNM_depth,PNM_max,Chl_max,Chl_depth,NitPNM,Nitracline_top
#,ID,ID,m,condition,ID,ID,#,deg W,deg N,kg/m3,PSU,deg C,umol/L,umol/L,umol/L,nmol/L,mg/m3,%,%,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,m,umol/L,mg/m3,m,umol/L,m
59,Ward,RM3,80,ML,Ambient,PS2,44,105.00,15.77,24.84,34.3,17.57,86.22,0.47,12.92,25.00,1.77,0.0150,0.0500,40.62,4.04,2.86,78.12,1.41,0.99,NA,NA,NA,2.50,NA,NA,80.00,0.49,3.28,72.00,NA,NA
60,Ward,RM3,80,HL,Ambient,PS2,44,105.00,15.77,24.84,34.3,17.57,86.22,0.47,13.12,25.00,1.77,0.0150,0.2500,33.11,0.96,0.68,74.98,32.87,23.24,NA,NA,NA,2.93,NA,NA,80.00,0.49,3.28,72.00,NA,NA
61,Falkor,EX1,70,DK,Filter,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,14.07,25.00,0.4,0.0265,0.0000,NA,NA,0.00,NA,1.67,1.18,NA,NA,NA,NA,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
62,Falkor,EX1,70,DK,Ambient,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,13.94,25.00,0.4,0.0265,0.0000,41.40,33.30,23.55,24.05,1.24,0.88,NA,NA,NA,1.75,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
63,Falkor,EX1,70,LL,Ambient,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,13.61,25.00,0.4,0.0265,0.0100,57.01,34.07,24.09,24.36,0.62,0.44,NA,NA,NA,1.06,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
64,Falkor,EX1,70,ML,Ambient,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,13.84,25.00,0.4,0.0265,0.0500,41.95,65.09,46.02,22.65,0.59,0.42,NA,NA,NA,2.21,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
65,Falkor,EX1,70,HL,Ambient,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,13.50,25.00,0.4,0.0265,0.2500,46.10,30.06,21.26,23.17,1.13,0.80,NA,NA,NA,3.04,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
66,Falkor,EX1,70,DK,20uM NO3,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,32.45,25.00,0.4,0.0265,0.0000,22.05,7.23,5.11,19.99,5.31,3.76,NA,NA,NA,2.42,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
67,Falkor,EX1,70,LL,20uM NO3,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,32.59,25.00,0.4,0.0265,0.0100,42.31,32.95,23.30,20.84,0.48,0.34,NA,NA,NA,1.00,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
68,Falkor,EX1,70,ML,20uM NO3,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,32.25,25.00,0.4,0.0265,0.0500,40.16,18.22,12.88,18.97,NA,NA,NA,NA,NA,1.04,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
